Date,Close/Last,Volume,Open,High,Low
12/13/2024,$324.47 ,4704074,$326.00 ,$337.63 ,$321.00 
12/12/2024,$326.21 ,4055388,$336.20 ,$340.63 ,$324.00 
12/11/2024,$338.21 ,7055397,$327.60 ,$339.17 ,$313.93 
12/10/2024,$321.06 ,9028330,$342.11 ,$360.46 ,$319.55 
12/9/2024,$342.54 ,16231090,$370.00 ,$379.90 ,$332.35 
12/6/2024,$401.50 ,9922600,$382.88 ,$417.64 ,$378.00 
12/5/2024,$379.07 ,6384126,$373.70 ,$397.47 ,$370.35 
12/4/2024,$373.70 ,5787179,$373.00 ,$384.50 ,$368.00 
12/3/2024,$366.55 ,7364755,$338.00 ,$372.57 ,$338.00 
12/2/2024,$340.59 ,3805672,$335.79 ,$347.60 ,$335.79 
11/29/2024,$336.75 ,2715151,$332.50 ,$343.75 ,$331.81 
11/27/2024,$328.56 ,4853996,$325.16 ,$329.36 ,$309.32 
11/26/2024,$329.77 ,4442188,$324.46 ,$334.74 ,$320.37 
11/25/2024,$319.59 ,8052262,$344.00 ,$344.77 ,$317.86 
11/22/2024,$333.31 ,6876405,$309.00 ,$335.39 ,$303.50 
11/21/2024,$318.24 ,8502478,$325.62 ,$329.19 ,$307.70 
11/20/2024,$325.22 ,7107526,$327.66 ,$342.51 ,$319.52 
11/19/2024,$321.19 ,5598984,$295.28 ,$323.59 ,$293.61 
11/18/2024,$298.00 ,5367268,$293.10 ,$302.40 ,$287.24 
11/15/2024,$291.09 ,24367480,$280.50 ,$292.05 ,$277.50 
11/14/2024,$284.49 ,7161888,$284.57 ,$302.55 ,$283.04 
11/13/2024,$283.96 ,4750341,$290.00 ,$291.45 ,$278.19 
11/12/2024,$289.03 ,6234730,$281.00 ,$291.32 ,$277.32 
11/11/2024,$286.43 ,10199300,$291.12 ,$292.05 ,$263.26 
11/8/2024,$290.01 ,15031880,$249.09 ,$292.86 ,$243.25 
11/7/2024,$246.53 ,18592810,$230.00 ,$257.43 ,$228.10 
11/6/2024,$168.55 ,6099615,$175.23 ,$176.99 ,$166.97 
11/5/2024,$165.18 ,4003607,$161.71 ,$167.43 ,$160.52 
11/4/2024,$159.11 ,4037632,$161.78 ,$162.45 ,$158.33 
11/1/2024,$163.53 ,3567856,$171.14 ,$171.18 ,$163.02 
10/31/2024,$169.39 ,2772826,$170.00 ,$171.31 ,$164.76 
10/30/2024,$171.65 ,2995066,$173.22 ,$174.46 ,$170.83 
10/29/2024,$172.24 ,2874192,$167.98 ,$172.55 ,$166.57 
10/28/2024,$166.19 ,2584857,$163.31 ,$166.74 ,$162.17 
10/25/2024,$161.63 ,2193317,$161.46 ,$164.15 ,$159.91 
10/24/2024,$159.00 ,2489101,$160.56 ,$162.72 ,$158.08 
10/23/2024,$159.40 ,4049409,$160.16 ,$165.38 ,$157.88 
10/22/2024,$158.95 ,3411484,$161.27 ,$163.08 ,$157.92 
10/21/2024,$158.85 ,5796491,$148.27 ,$159.81 ,$148.01 
10/18/2024,$145.22 ,2782714,$144.15 ,$146.02 ,$141.35 
